               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12148,             0.10842,            0.042759,             0.23276,            0.070555,            0.021994,           0.0071077,             0.12632,             0.29446,             0.05278,            0.070203,           0.0033108,           0.0033108
                   1,             0.11075,             0.12341,            0.037492,             0.35166,              0.1097,            0.047301,             0.01585,             0.11602,             0.25882,            0.043591,            0.040201,           0.0066428,           0.0066428
                   2,             0.10917,             0.12488,            0.036215,             0.35747,              0.1191,            0.056698,             0.02013,             0.11322,             0.33928,            0.047429,            0.010195,           0.0099696,           0.0099696
                   3,              0.1077,             0.12441,             0.03514,             0.28731,             0.15367,             0.08558,             0.03012,             0.11117,             0.26997,            0.041775,           0.0099822,           0.0099822,           0.0099822
                   4,             0.10575,             0.12296,            0.034269,               0.343,              0.1391,            0.087047,            0.033812,             0.11092,             0.24154,            0.040728,           0.0099822,           0.0099822,           0.0099822
                   5,             0.10491,             0.12235,            0.033333,             0.42305,             0.14715,             0.10131,            0.041735,             0.10996,             0.24357,            0.042198,           0.0099685,           0.0099685,           0.0099685
                   6,             0.10424,             0.12132,            0.032905,             0.24433,             0.17427,               0.124,            0.052701,             0.10717,             0.23315,            0.038782,           0.0099508,           0.0099508,           0.0099508
                   7,             0.10325,             0.12016,             0.03224,             0.16729,             0.19547,             0.12496,            0.048729,             0.10717,             0.24089,            0.038682,           0.0099291,           0.0099291,           0.0099291
                   8,             0.10358,              0.1197,            0.031927,             0.18259,             0.19095,             0.12821,            0.052125,             0.10807,             0.23085,            0.038235,           0.0099037,           0.0099037,           0.0099037
                   9,             0.10278,             0.11895,            0.031349,             0.20387,             0.17588,             0.12985,            0.052462,             0.10764,             0.23604,            0.039509,           0.0098743,           0.0098743,           0.0098743
                  10,             0.10216,             0.11851,            0.030942,             0.20465,             0.20691,             0.15126,            0.066259,             0.10534,             0.22927,            0.037379,           0.0098412,           0.0098412,           0.0098412
                  11,             0.10189,             0.11764,            0.030602,             0.19251,             0.21075,              0.1395,             0.05866,              0.1059,             0.23372,            0.038738,           0.0098042,           0.0098042,           0.0098042
                  12,             0.10166,              0.1176,            0.030417,             0.30034,             0.17272,             0.13498,            0.057091,             0.10644,             0.24477,            0.039818,           0.0097635,           0.0097635,           0.0097635
                  13,             0.10128,             0.11633,            0.030003,             0.22136,             0.19227,             0.15224,            0.064534,             0.10538,             0.23019,             0.03811,           0.0097191,           0.0097191,           0.0097191
                  14,             0.10098,             0.11596,            0.029802,             0.21446,             0.20375,             0.15442,            0.069098,             0.10502,             0.23279,            0.037714,            0.009671,            0.009671,            0.009671
                  15,               0.101,             0.11578,            0.029494,             0.21884,             0.20952,             0.15994,            0.070118,             0.10462,             0.23055,            0.037222,           0.0096193,           0.0096193,           0.0096193
                  16,             0.10053,             0.11552,            0.029252,             0.24488,             0.19705,             0.15241,            0.068523,             0.10521,             0.23468,            0.041372,            0.009564,            0.009564,            0.009564
                  17,             0.10017,             0.11416,            0.028955,             0.21062,             0.20979,              0.1591,            0.071653,             0.10506,             0.23134,             0.03875,           0.0095052,           0.0095052,           0.0095052
                  18,            0.099888,             0.11313,            0.028595,             0.23218,             0.21761,             0.16417,            0.073224,             0.10452,             0.23057,            0.037568,            0.009443,            0.009443,            0.009443
                  19,            0.099677,             0.11274,            0.028492,             0.22441,             0.22169,             0.16606,            0.075286,             0.10424,             0.23563,            0.037588,           0.0093773,           0.0093773,           0.0093773
                  20,            0.099485,              0.1119,            0.028294,             0.24953,             0.21615,             0.16902,            0.077029,             0.10454,             0.23053,            0.037654,           0.0093083,           0.0093083,           0.0093083
                  21,            0.099406,              0.1115,            0.027997,             0.23928,             0.20444,             0.15803,            0.072762,             0.10479,             0.23373,            0.040901,           0.0092361,           0.0092361,           0.0092361
                  22,            0.099353,             0.11172,            0.027772,             0.27246,             0.20787,             0.16861,            0.077267,             0.10433,             0.23186,            0.038608,           0.0091606,           0.0091606,           0.0091606
                  23,            0.098963,             0.11099,            0.027546,             0.24112,             0.19812,             0.16714,            0.075463,             0.10465,             0.23573,            0.039752,           0.0090821,           0.0090821,           0.0090821
                  24,            0.098897,              0.1098,            0.027359,             0.25384,             0.21859,             0.16932,            0.076983,             0.10426,             0.23366,            0.038371,           0.0090004,           0.0090004,           0.0090004
                  25,            0.098609,             0.10932,            0.027261,             0.25067,             0.22253,             0.17088,            0.078327,             0.10404,             0.22984,            0.037678,           0.0089159,           0.0089159,           0.0089159
                  26,            0.098649,             0.10912,            0.027153,             0.24228,              0.2218,             0.17107,            0.078576,             0.10388,             0.23536,            0.038485,           0.0088284,           0.0088284,           0.0088284
                  27,            0.098411,             0.10815,            0.026789,             0.24336,             0.21175,             0.17005,            0.076841,             0.10457,             0.23562,            0.039335,           0.0087382,           0.0087382,           0.0087382
                  28,            0.098148,             0.10722,            0.026672,              0.2553,             0.21632,             0.16999,            0.078617,             0.10456,             0.24185,            0.038061,           0.0086452,           0.0086452,           0.0086452
                  29,            0.097841,             0.10716,            0.026517,             0.24447,             0.22215,             0.16923,            0.077558,             0.10435,             0.23955,            0.038845,           0.0085497,           0.0085497,           0.0085497
                  30,            0.098056,             0.10664,            0.026402,              0.2554,             0.21672,             0.17749,            0.082491,              0.1039,             0.23294,             0.03921,           0.0084516,           0.0084516,           0.0084516
                  31,            0.097738,             0.10629,            0.026145,             0.24916,             0.20845,              0.1686,            0.078698,             0.10434,             0.23914,            0.039748,           0.0083511,           0.0083511,           0.0083511
                  32,            0.097557,             0.10525,            0.025891,             0.26219,             0.21326,             0.17862,            0.082665,               0.104,             0.23499,             0.03815,           0.0082483,           0.0082483,           0.0082483
                  33,             0.09739,              0.1047,            0.025617,             0.28013,             0.21433,             0.17501,            0.081608,             0.10411,             0.23649,            0.038462,           0.0081433,           0.0081433,           0.0081433
                  34,            0.097303,             0.10487,            0.025607,             0.25402,              0.2182,             0.17487,            0.080282,             0.10454,             0.23888,            0.038466,           0.0080362,           0.0080362,           0.0080362
                  35,            0.097081,             0.10414,            0.025527,             0.27205,             0.21555,             0.17627,            0.081981,             0.10407,             0.23829,            0.038961,            0.007927,            0.007927,            0.007927
                  36,             0.09702,             0.10358,            0.025219,             0.26779,             0.21647,             0.17702,            0.082144,             0.10423,             0.24167,            0.038573,            0.007816,            0.007816,            0.007816
                  37,            0.096716,             0.10324,            0.025096,             0.26257,             0.22185,             0.17693,            0.082623,             0.10426,             0.23887,            0.040184,           0.0077031,           0.0077031,           0.0077031
                  38,            0.096639,             0.10275,            0.024867,              0.2722,             0.21487,             0.17566,            0.082539,             0.10402,             0.24104,            0.039364,           0.0075886,           0.0075886,           0.0075886
                  39,            0.096598,              0.1019,            0.024698,             0.26478,             0.22559,              0.1794,            0.082408,             0.10401,             0.23807,            0.038559,           0.0074725,           0.0074725,           0.0074725
                  40,            0.096497,             0.10238,            0.024712,             0.26325,             0.21999,             0.17853,            0.083789,             0.10396,             0.23812,            0.039145,            0.007355,            0.007355,            0.007355
