               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13021,            0.068081,            0.031543,             0.15289,             0.10228,            0.056142,             0.02247,             0.11097,             0.16159,            0.027736,            0.070037,           0.0033292,           0.0033292
                   1,             0.10949,            0.086554,            0.024535,             0.17116,             0.15113,            0.076455,            0.029818,              0.1068,             0.16684,            0.025041,            0.040035,           0.0066609,           0.0066609
                   2,             0.10755,             0.08706,            0.022981,             0.29667,             0.16138,             0.08824,            0.033385,             0.10551,              0.1668,            0.024074,            0.010027,           0.0099861,           0.0099861
                   3,             0.10411,            0.086792,            0.022139,             0.32448,             0.17432,             0.10894,            0.048448,             0.10206,             0.16676,             0.02335,            0.009978,            0.009978,            0.009978
                   4,             0.10185,            0.085913,            0.021262,             0.45703,             0.16913,             0.11459,            0.049998,             0.10199,             0.16765,             0.02326,            0.009978,            0.009978,            0.009978
                   5,             0.10076,            0.084905,            0.020664,             0.47237,             0.18448,             0.13235,            0.060197,             0.10057,             0.16748,            0.022677,            0.009961,            0.009961,            0.009961
                   6,            0.099805,            0.084225,            0.020178,             0.38441,             0.17792,             0.13704,            0.060963,              0.1007,             0.16698,            0.022283,           0.0099391,           0.0099391,           0.0099391
                   7,            0.099147,            0.083359,            0.019672,             0.49039,             0.18448,             0.14764,            0.068322,            0.099683,              0.1651,            0.021907,           0.0099123,           0.0099123,           0.0099123
                   8,            0.098651,            0.082663,             0.01931,             0.39572,             0.19424,             0.15477,            0.071386,            0.099454,             0.16664,            0.021739,           0.0098808,           0.0098808,           0.0098808
                   9,            0.098121,            0.081963,            0.018995,              0.4302,             0.19167,             0.15211,            0.070214,            0.099735,             0.16708,            0.022221,           0.0098445,           0.0098445,           0.0098445
                  10,            0.097706,            0.081319,            0.018689,             0.29179,             0.19412,             0.15077,             0.06993,            0.099589,             0.16753,            0.022006,           0.0098035,           0.0098035,           0.0098035
