               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13065,            0.070266,            0.013926,             0.70756,             0.14041,             0.14033,            0.053513,             0.11192,             0.16855,           0.0044654,            0.070037,           0.0033292,           0.0033292
                   1,             0.11057,            0.089602,           0.0037228,             0.73223,             0.16068,             0.16965,            0.067995,             0.10751,             0.17533,           0.0035425,            0.040035,           0.0066609,           0.0066609
                   2,             0.10858,            0.090423,            0.003298,             0.76352,              0.1607,             0.18329,            0.067911,             0.10787,             0.17477,           0.0033923,            0.010027,           0.0099861,           0.0099861
                   3,             0.10529,             0.09044,           0.0030366,             0.80206,             0.18112,             0.21404,            0.097094,             0.10333,             0.17558,           0.0030369,            0.009978,            0.009978,            0.009978
                   4,             0.10291,            0.089337,           0.0028166,             0.80145,             0.19013,             0.22406,            0.098377,             0.10287,             0.17519,           0.0027962,            0.009978,            0.009978,            0.009978
                   5,              0.1017,            0.088325,           0.0027135,             0.81705,             0.19815,             0.23556,             0.10772,             0.10178,             0.17447,           0.0027547,            0.009961,            0.009961,            0.009961
                   6,             0.10069,            0.087551,           0.0026335,             0.81906,             0.18645,             0.22521,             0.10205,             0.10237,             0.17797,           0.0027219,           0.0099391,           0.0099391,           0.0099391
                   7,             0.10002,            0.086558,           0.0026093,             0.82353,             0.20246,             0.24218,             0.11373,             0.10106,             0.17358,           0.0026555,           0.0099123,           0.0099123,           0.0099123
                   8,            0.099404,            0.085868,           0.0025492,             0.32548,             0.20241,             0.24239,             0.11274,             0.10097,              0.1759,           0.0025777,           0.0098808,           0.0098808,           0.0098808
                   9,            0.098935,             0.08511,           0.0024955,             0.37663,             0.20282,             0.23923,             0.11085,             0.10109,             0.17577,           0.0025573,           0.0098445,           0.0098445,           0.0098445
                  10,            0.098509,            0.084478,           0.0024605,             0.43399,             0.20056,             0.23882,             0.11341,             0.10093,             0.17757,           0.0025487,           0.0098035,           0.0098035,           0.0098035
