               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10668,             0.10715,            0.021499,             0.28751,             0.22099,             0.18632,            0.090422,             0.09945,             0.16567,            0.021026,            0.069357,           0.0026646,           0.0026646
                   1,             0.10523,             0.10246,            0.020344,             0.27076,             0.22311,              0.1858,            0.087986,            0.099567,             0.16529,            0.020967,             0.03862,           0.0052609,           0.0052609
                   2,             0.10416,             0.10225,            0.019866,             0.29223,             0.20447,             0.17353,            0.082378,            0.099917,             0.16461,            0.021407,           0.0078126,           0.0077868,           0.0077868
                   3,             0.10419,             0.10126,             0.01975,             0.25965,             0.21534,             0.18156,            0.084758,            0.099475,             0.16502,            0.020958,           0.0076832,           0.0076832,           0.0076832
                   4,             0.10359,             0.10086,            0.019361,             0.28872,             0.22174,             0.18406,            0.087334,            0.099532,             0.16497,            0.020894,           0.0076832,           0.0076832,           0.0076832
                   5,             0.10334,             0.10158,            0.019297,             0.27061,             0.21911,             0.18783,            0.088737,            0.099311,             0.16391,            0.020924,           0.0075776,           0.0075776,           0.0075776
                   6,               0.103,             0.10068,            0.019116,             0.29948,             0.21932,             0.18424,            0.088542,            0.099041,             0.16401,            0.020832,            0.007472,            0.007472,            0.007472
                   7,             0.10335,             0.10108,            0.018972,             0.28805,             0.21389,             0.18774,            0.089685,            0.098987,             0.16357,            0.020889,           0.0073664,           0.0073664,           0.0073664
                   8,             0.10286,             0.10019,            0.018943,             0.29331,             0.22482,             0.19265,            0.093081,            0.098872,             0.16337,             0.02055,           0.0072608,           0.0072608,           0.0072608
                   9,             0.10285,             0.10005,            0.018779,             0.31729,             0.22823,             0.19409,            0.092891,            0.098833,              0.1637,            0.020584,           0.0071552,           0.0071552,           0.0071552
                  10,             0.10294,            0.099269,            0.018743,             0.27499,             0.22348,             0.19456,            0.093712,            0.098615,             0.16354,            0.020643,           0.0070496,           0.0070496,           0.0070496
                  11,             0.10246,            0.099441,            0.018611,              0.3032,             0.22525,             0.19649,            0.094894,            0.098633,             0.16332,             0.02071,            0.006944,            0.006944,            0.006944
                  12,             0.10224,            0.099861,             0.01859,              0.2814,             0.22637,             0.19794,            0.095556,            0.098508,             0.16324,            0.020536,           0.0068384,           0.0068384,           0.0068384
                  13,             0.10243,            0.098852,             0.01848,              0.3068,             0.22931,             0.20039,            0.097324,            0.098431,             0.16314,            0.020387,           0.0067328,           0.0067328,           0.0067328
                  14,              0.1026,            0.098986,            0.018408,             0.32523,             0.22926,             0.19788,            0.095805,            0.098573,              0.1631,            0.020466,           0.0066272,           0.0066272,           0.0066272
                  15,             0.10233,            0.099503,            0.018446,             0.31864,             0.22726,             0.20054,            0.098165,            0.098427,             0.16299,            0.020547,           0.0065216,           0.0065216,           0.0065216
                  16,             0.10239,            0.099472,            0.018291,              0.3159,             0.23656,             0.20319,             0.09907,            0.098432,             0.16301,            0.020497,            0.006416,            0.006416,            0.006416
                  17,             0.10184,            0.099016,            0.018238,             0.30539,             0.23296,             0.20399,             0.09933,             0.09828,             0.16258,            0.020257,           0.0063104,           0.0063104,           0.0063104
                  18,             0.10204,            0.098789,             0.01823,             0.30449,             0.23515,               0.203,            0.098161,            0.098289,             0.16222,             0.02043,           0.0062048,           0.0062048,           0.0062048
                  19,             0.10232,            0.098648,            0.018077,              0.3063,             0.23756,             0.20752,             0.10119,            0.098216,              0.1629,            0.020491,           0.0060992,           0.0060992,           0.0060992
                  20,             0.10158,            0.098422,            0.018157,             0.31855,             0.24059,             0.20777,             0.10233,            0.098097,             0.16258,            0.020378,           0.0059936,           0.0059936,           0.0059936
                  21,             0.10168,            0.099162,            0.018107,             0.31587,             0.24125,             0.21036,             0.10324,            0.098081,             0.16244,            0.020236,            0.005888,            0.005888,            0.005888
                  22,             0.10166,            0.098508,            0.018059,             0.31113,             0.24044,             0.21162,             0.10384,            0.097983,             0.16212,            0.020222,           0.0057824,           0.0057824,           0.0057824
                  23,             0.10134,            0.098502,            0.017975,             0.30783,             0.24133,             0.21155,             0.10338,            0.097956,             0.16174,            0.020286,           0.0056768,           0.0056768,           0.0056768
                  24,              0.1014,            0.097903,            0.018007,             0.31927,             0.23666,             0.21314,             0.10506,            0.097982,             0.16217,            0.020218,           0.0055712,           0.0055712,           0.0055712
                  25,             0.10137,             0.09877,            0.017953,             0.33361,             0.24319,             0.21547,             0.10629,            0.097895,             0.16208,            0.020238,           0.0054656,           0.0054656,           0.0054656
                  26,             0.10143,            0.098145,            0.017874,              0.3281,             0.23482,             0.21451,             0.10511,            0.097843,             0.16168,            0.020131,             0.00536,             0.00536,             0.00536
                  27,             0.10133,             0.09758,             0.01787,             0.33321,             0.23658,               0.214,             0.10549,            0.097781,             0.16179,            0.020091,           0.0052544,           0.0052544,           0.0052544
                  28,             0.10118,            0.097712,            0.017829,             0.32553,             0.24319,              0.2181,             0.10696,            0.097712,             0.16163,            0.020053,           0.0051488,           0.0051488,           0.0051488
                  29,              0.1014,            0.097608,            0.017761,             0.33596,              0.2382,             0.21728,             0.10691,            0.097675,             0.16156,            0.020142,           0.0050432,           0.0050432,           0.0050432
                  30,             0.10109,            0.097687,            0.017749,             0.32915,             0.24128,             0.21768,             0.10631,            0.097701,             0.16173,            0.020136,           0.0049376,           0.0049376,           0.0049376
                  31,             0.10115,            0.097022,            0.017764,              0.3389,             0.24496,             0.22116,              0.1081,            0.097588,             0.16167,            0.020027,            0.004832,            0.004832,            0.004832
                  32,             0.10089,            0.097652,            0.017793,             0.33249,             0.24324,             0.22061,             0.10844,            0.097631,             0.16169,            0.020027,           0.0047264,           0.0047264,           0.0047264
                  33,             0.10094,            0.097991,             0.01765,             0.33608,             0.24496,             0.22377,             0.11012,            0.097587,             0.16144,            0.019977,           0.0046208,           0.0046208,           0.0046208
                  34,             0.10084,            0.097483,            0.017653,              0.3257,             0.24686,             0.22302,             0.10953,            0.097534,             0.16139,            0.019913,           0.0045152,           0.0045152,           0.0045152
                  35,             0.10094,            0.097034,            0.017664,              0.3359,             0.24473,             0.22216,             0.10966,            0.097457,             0.16128,            0.019931,           0.0044096,           0.0044096,           0.0044096
                  36,             0.10128,             0.09863,            0.017624,              0.3394,             0.24545,             0.22048,             0.10811,            0.097461,             0.16115,            0.019924,            0.004304,            0.004304,            0.004304
                  37,             0.10087,             0.09665,            0.017561,             0.33362,             0.24575,             0.22254,             0.11052,            0.097407,             0.16121,            0.019951,           0.0041984,           0.0041984,           0.0041984
                  38,             0.10067,            0.096944,            0.017571,             0.32562,             0.24671,             0.22383,             0.11074,            0.097358,             0.16109,            0.019902,           0.0040928,           0.0040928,           0.0040928
                  39,             0.10078,            0.097195,            0.017493,             0.33579,             0.24693,             0.22283,             0.11042,            0.097334,             0.16116,            0.019932,           0.0039872,           0.0039872,           0.0039872
                  40,             0.10042,            0.096591,            0.017433,             0.32979,              0.2476,             0.22564,             0.11113,            0.097244,             0.16105,            0.019855,           0.0038816,           0.0038816,           0.0038816
                  41,             0.10072,            0.096556,            0.017415,             0.33648,             0.24945,             0.22524,             0.11226,            0.097279,              0.1614,            0.019824,            0.003776,            0.003776,            0.003776
                  42,             0.10049,            0.096698,            0.017415,             0.34222,              0.2493,             0.22763,             0.11301,             0.09719,              0.1611,            0.019824,           0.0036704,           0.0036704,           0.0036704
                  43,             0.10058,            0.096939,            0.017391,             0.33571,             0.24561,             0.22765,             0.11244,            0.097242,             0.16103,            0.019826,           0.0035648,           0.0035648,           0.0035648
                  44,             0.10069,            0.097035,            0.017318,             0.33606,             0.25067,             0.22699,             0.11266,            0.097236,             0.16102,            0.019797,           0.0034592,           0.0034592,           0.0034592
                  45,             0.10013,            0.096563,            0.017264,             0.33272,             0.25339,             0.22778,             0.11347,            0.097158,             0.16084,            0.019783,           0.0033536,           0.0033536,           0.0033536
                  46,             0.10033,            0.096516,            0.017239,             0.34242,             0.25065,             0.22952,             0.11438,              0.0971,             0.16091,            0.019801,            0.003248,            0.003248,            0.003248
                  47,              0.1004,            0.097077,            0.017299,             0.33778,              0.2505,             0.22971,             0.11396,            0.097077,             0.16082,            0.019794,           0.0031424,           0.0031424,           0.0031424
                  48,             0.10035,             0.09721,            0.017269,             0.32971,             0.25967,             0.22936,             0.11447,            0.097037,              0.1608,            0.019799,           0.0030368,           0.0030368,           0.0030368
                  49,             0.10029,             0.09619,            0.017176,             0.33411,             0.25595,             0.22816,             0.11447,            0.097039,             0.16085,            0.019766,           0.0029312,           0.0029312,           0.0029312
