               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12929,            0.069632,            0.031541,             0.25263,             0.10274,            0.057028,             0.02308,             0.11011,             0.16413,            0.027788,            0.070037,           0.0033292,           0.0033292
                   1,             0.10861,            0.088032,             0.02455,             0.16974,             0.15289,            0.074543,            0.028979,             0.10575,             0.16996,            0.025015,            0.039905,           0.0065306,           0.0065306
                   2,             0.10664,            0.088322,            0.023001,             0.29351,             0.17541,             0.09317,            0.036619,             0.10415,             0.16848,            0.024043,           0.0096412,              0.0096,              0.0096
                   3,             0.10315,            0.088284,            0.022179,             0.33132,             0.17442,             0.11011,            0.049437,             0.10122,             0.16844,            0.023489,            0.009406,            0.009406,            0.009406
                   4,             0.10093,            0.086984,            0.021302,             0.47243,             0.17288,             0.11766,            0.051656,             0.10131,             0.16948,            0.023102,            0.009406,            0.009406,            0.009406
                   5,            0.099765,            0.086108,            0.020692,             0.48169,              0.1838,             0.13321,            0.060387,             0.09991,             0.16912,             0.02272,            0.009208,            0.009208,            0.009208
                   6,            0.098715,            0.085303,             0.02015,             0.48552,             0.18303,             0.13936,            0.062667,            0.099855,              0.1694,            0.022471,             0.00901,             0.00901,             0.00901
                   7,            0.098024,            0.084263,             0.01966,              0.4924,             0.18532,             0.14718,            0.067647,            0.098972,             0.16816,             0.02203,            0.008812,            0.008812,            0.008812
                   8,            0.097522,            0.083657,            0.019302,             0.49846,             0.18542,              0.1525,            0.070713,            0.098856,             0.16921,            0.021726,            0.008614,            0.008614,            0.008614
                   9,            0.096997,            0.082895,            0.018974,             0.40032,             0.18101,             0.14811,            0.067974,            0.098958,             0.16978,            0.022061,            0.008416,            0.008416,            0.008416
                  10,            0.096488,            0.082049,            0.018647,             0.40803,             0.19304,             0.15313,            0.071771,            0.098701,              0.1708,            0.021907,            0.008218,            0.008218,            0.008218
                  11,            0.096054,            0.081622,             0.01848,             0.43714,             0.18557,             0.15987,            0.074786,            0.098706,             0.17147,            0.021752,             0.00802,             0.00802,             0.00802
                  12,            0.095777,             0.08104,            0.018227,             0.43601,             0.18406,             0.15764,            0.073407,            0.098462,             0.17134,            0.021688,            0.007822,            0.007822,            0.007822
                  13,            0.095308,            0.080252,            0.018026,             0.46056,             0.19226,              0.1643,            0.077042,            0.098335,             0.17053,            0.021601,            0.007624,            0.007624,            0.007624
